,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
417,417,The Terminator,1984,107,"Action, Sci-Fi",8.0,84.0,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","807,294",$38.40M
418,418,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music",8.0,47.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"77,086",$22.24M
419,419,Gandhi,1982,191,"Biography, Drama, History",8.0,79.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"219,762",$52.77M
421,421,Being There,1979,130,"Comedy, Drama",8.0,83.0,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.","66,903",$30.18M
422,422,Annie Hall,1977,93,"Comedy, Romance",8.0,92.0,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","254,435",$39.20M
423,423,All the President's Men,1976,138,"Biography, Drama, History",8.0,84.0,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","105,380",$70.60M
424,424,Jaws,1975,124,"Adventure, Thriller",8.0,87.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","549,924",$260.00M
425,425,Dog Day Afternoon,1975,125,"Biography, Crime, Drama",8.0,86.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","239,528",$50.00M
426,426,Young Frankenstein,1974,106,Comedy,8.0,80.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.","145,431",$86.30M
427,427,Papillon,1973,151,"Biography, Crime, Drama",8.0,58.0,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.","123,538",$53.27M
428,428,The Exorcist,1973,122,Horror,8.0,81.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","366,902",$232.91M
