,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
542,542,A Christmas Story,1983,93,"Comedy, Family",7.9,77.0,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","133,835",$20.61M
543,543,The Blues Brothers,1980,133,"Action, Adventure, Comedy",7.9,60.0,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.","186,199",$57.23M
544,544,Manhattan,1979,96,"Comedy, Drama, Romance",7.9,83.0,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"133,036",$45.70M
545,545,All That Jazz,1979,123,"Drama, Music, Musical",7.9,72.0,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","28,784",$37.82M
546,546,Dawn of the Dead,1978,127,"Horror, Thriller",7.9,71.0,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.","112,981",$5.10M
547,547,The Holy Mountain,1973,114,"Adventure, Drama, Fantasy",7.9,76.0,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.","38,444",$0.06M
549,549,The Discreet Charm of the Bourgeoisie,1972,102,Comedy,7.9,93.0,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.","39,624",$0.20M
552,552,Patton,1970,172,"Biography, Drama, War",7.9,91.0,The World War II phase of the career of controversial American general George S. Patton.,"94,771",$61.70M
553,553,The Wild Bunch,1969,135,"Action, Adventure, Western",7.9,97.0,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","78,505",$12.06M
554,554,Night of the Living Dead,1968,96,"Horror, Thriller",7.9,89.0,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,"118,507",$0.09M
556,556,In the Heat of the Night,1967,110,"Crime, Drama, Mystery",7.9,75.0,A black police detective is asked to investigate a murder in a racially hostile southern town.,"69,095",$24.38M
557,557,Charade,1963,113,"Comedy, Mystery, Romance",7.9,83.0,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,"70,575",$13.47M
559,559,Spartacus,1960,197,"Adventure, Biography, Drama",7.9,87.0,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,"126,014",$30.00M
566,566,Miracle on 34th Street,1947,96,"Comedy, Drama, Family",7.9,88.0,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.","42,019",$2.65M
573,573,The Adventures of Robin Hood,1938,102,"Action, Adventure, Romance",7.9,97.0,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.","47,845",$3.98M
575,575,King Kong,1933,100,"Adventure, Horror, Sci-Fi",7.9,90.0,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,"80,530",$10.00M
582,582,The Salesman,2016,124,Drama,7.8,85.0,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.","53,028",$2.40M
583,583,Dunkirk,2017,106,"Action, Drama, History",7.8,94.0,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","573,375",$188.37M
585,585,Hidden Figures,2016,127,"Biography, Drama, History",7.8,74.0,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"206,521",$169.61M
586,586,Paddington 2,2017,103,"Animation, Adventure, Comedy",7.8,88.0,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.","64,555",$40.44M
588,588,Kubo and the Two Strings,2016,101,"Animation, Action, Adventure",7.8,84.0,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,"120,196",$48.02M
589,589,Manchester by the Sea,2016,137,Drama,7.8,96.0,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"253,965",$47.70M
590,590,Land of Mine,2015,100,"Drama, History, War",7.8,75.0,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.","37,047",$0.44M
591,591,Rogue One: A Star Wars Story,2016,133,"Action, Adventure, Sci-Fi",7.8,65.0,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,"567,513",$532.18M
592,592,Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi",7.8,75.0,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"684,840",$408.08M
593,593,The Hateful Eight,2015,168,"Crime, Drama, Mystery",7.8,68.0,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","531,468",$54.12M
594,594,Little Women,2019,135,"Drama, Romance",7.8,91.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","154,234",$108.10M
595,595,Loving Vincent,2017,94,"Animation, Biography, Crime",7.8,62.0,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.","52,341",$6.74M
597,597,Nightcrawler,2014,117,"Crime, Drama, Thriller",7.8,76.0,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","479,697",$32.38M
598,598,The Great Beauty,2013,141,Drama,7.8,86.0,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.","82,678",$2.85M
599,599,The Lunchbox,2013,104,"Drama, Romance",7.8,76.0,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,"51,776",$4.23M
601,601,Big Hero 6,2014,102,"Animation, Action, Adventure",7.8,74.0,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","418,602",$222.53M
602,602,Kai Po Che,2013,120,"Drama, Sport",7.8,40.0,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,"33,681",$1.12M
603,603,About Time,I 2013,123,"Comedy, Drama, Fantasy",7.8,55.0,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","313,205",$15.32M
605,605,The Wind Rises,2013,126,"Animation, Biography, Drama",7.8,83.0,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","76,178",$5.21M
606,606,The Best Offer,2013,131,"Crime, Drama, Mystery",7.8,49.0,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,"110,921",$0.09M
607,607,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance",7.8,84.0,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","324,941",$45.51M
608,608,How to Train Your Dragon 2,2014,102,"Animation, Action, Adventure",7.8,76.0,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","310,454",$177.00M
609,609,The Big Short,2015,130,"Biography, Comedy, Drama",7.8,81.0,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,"376,068",$70.26M
610,610,I Saw the Devil,2010,144,"Action, Crime, Drama",7.8,67.0,A secret agent exacts revenge on a serial killer through a series of captures and releases.,"114,977",$0.13M
611,611,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery",7.8,71.0,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.","431,088",$102.52M
612,612,Captain Phillips,2013,134,"Adventure, Biography, Crime",7.8,82.0,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","428,185",$107.10M
614,614,Straight Outta Compton,2015,147,"Biography, Drama, History",7.8,72.0,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","183,448",$161.20M
615,615,The Irishman,2019,209,"Biography, Crime, Drama",7.8,94.0,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,"338,278",$7.00M
616,616,Mother,2009,129,"Crime, Drama, Mystery",7.8,79.0,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,"55,341",$0.55M
618,618,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy",7.8,66.0,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.","610,434",$258.37M
619,619,The White Ribbon,2009,144,"Drama, History, Mystery",7.8,82.0,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?","69,687",$2.22M
620,620,The Girl with the Dragon Tattoo,2009,152,"Crime, Drama, Mystery",7.8,76.0,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,"210,552",$10.10M
623,623,The Fighter,I 2010,116,"Biography, Drama, Sport",7.8,79.0,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","345,726",$93.62M
624,624,Taken,I 2008,90,"Action, Crime, Thriller",7.8,51.0,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.","570,887",$145.00M
625,625,The Boy in the Striped Pajamas,2008,94,"Drama, History, War",7.8,55.0,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.","194,655",$9.03M
626,626,Once,I 2007,86,"Drama, Music, Romance",7.8,88.0,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.","111,811",$9.44M
627,627,The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy",7.8,58.0,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","767,526",$303.00M
628,628,The Edge of Heaven,2007,122,Drama,7.8,85.0,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,"31,087",$0.74M
629,629,Atonement,2007,123,"Drama, Mystery, Romance",7.8,85.0,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,"256,733",$50.93M
630,630,Drive,I 2011,100,"Crime, Drama",7.8,78.0,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,"582,181",$35.06M
631,631,American Gangster,2007,157,"Biography, Crime, Drama",7.8,76.0,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","398,800",$130.16M
632,632,Avatar,2009,162,"Action, Adventure, Fantasy",7.8,83.0,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"1,135,001",$760.51M
633,633,Mr. Nobody,2009,141,"Drama, Fantasy, Romance",7.8,63.0,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.","220,002",$0.00M
634,634,Apocalypto,2006,139,"Action, Adventure, Drama",7.8,68.0,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.","295,010",$50.87M
635,635,Little Miss Sunshine,2006,101,"Comedy, Drama",7.8,80.0,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"446,608",$59.89M
636,636,Hot Fuzz,2007,121,"Action, Comedy, Mystery",7.8,81.0,A skilled London police officer is transferred to a small town with a dark secret.,"471,628",$23.64M
637,637,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance",7.8,70.0,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","600,444",$127.51M
638,638,Veer-Zaara,2004,192,"Drama, Family, Musical",7.8,67.0,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.","49,831",$2.92M
639,639,Adam's Apples,2005,94,"Comedy, Crime, Drama",7.8,51.0,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,"46,851",$0.00M
640,640,Pride & Prejudice,2005,129,"Drama, Romance",7.8,82.0,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?","265,809",$38.41M
641,641,The World's Fastest Indian,2005,127,"Biography, Drama, Sport",7.8,68.0,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.","52,587",$5.13M
642,642,Tokyo Godfathers,2003,92,"Animation, Adventure, Comedy",7.8,73.0,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.","32,808",$0.13M
643,643,Serenity,2005,119,"Action, Adventure, Sci-Fi",7.8,74.0,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,"285,740",$25.51M
644,644,Walk the Line,2005,136,"Biography, Drama, Music",7.8,72.0,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.","237,281",$119.52M
645,645,Evil,2003,113,Drama,7.8,61.0,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.","36,062",$0.02M
646,646,The Notebook,2004,123,"Drama, Romance",7.8,53.0,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","529,972",$81.00M
647,647,The Motorcycle Diaries,2004,126,"Adventure, Biography, Drama",7.8,75.0,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,"97,835",$16.76M
648,648,Lilya 4-Ever,2002,109,"Crime, Drama",7.8,82.0,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.","43,286",$0.18M
649,649,The Triplets of Belleville,2003,80,"Animation, Comedy, Drama",7.8,91.0,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.","51,153",$7.00M
651,651,Waking Life,2001,99,"Animation, Drama, Fantasy",7.8,83.0,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,"61,413",$2.89M
652,652,Remember the Titans,2000,113,"Biography, Drama, Sport",7.8,48.0,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"200,922",$115.65M
653,653,"Crouching Tiger, Hidden Dragon",2000,120,"Action, Adventure, Fantasy",7.8,94.0,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"256,460",$128.08M
654,654,Cast Away,2000,143,"Adventure, Drama, Romance",7.8,73.0,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"536,520",$233.63M
655,655,The Boondock Saints,1999,108,"Action, Crime, Thriller",7.8,44.0,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,"229,313",$0.03M
656,656,The Insider,1999,157,"Biography, Drama, Thriller",7.8,84.0,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,"161,973",$28.97M
657,657,October Sky,1999,108,"Biography, Drama, Family",7.8,71.0,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.","84,252",$32.48M
658,658,Titanic,1997,194,"Drama, Romance",7.8,75.0,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","1,067,422",$659.33M
660,660,Gattaca,1997,106,"Drama, Sci-Fi, Thriller",7.8,64.0,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,"284,863",$12.34M
661,661,The Game,1997,129,"Drama, Mystery, Thriller",7.8,61.0,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.","355,779",$48.32M
662,662,Breaking the Waves,1996,159,Drama,7.8,76.0,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.","63,371",$4.04M
663,663,Ed Wood,1994,127,"Biography, Comedy, Drama",7.8,70.0,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.","166,752",$5.89M
664,664,Tombstone,1993,130,"Action, Biography, Drama",7.8,50.0,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","130,277",$56.51M
665,665,The Sandlot,1993,101,"Comedy, Drama, Family",7.8,55.0,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.","80,834",$32.42M
666,666,The Remains of the Day,1993,134,"Drama, Romance",7.8,86.0,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,"68,022",$22.95M
667,667,Naked,1993,132,"Comedy, Drama",7.8,84.0,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.","35,641",$1.77M
668,668,The Fugitive,1993,130,"Action, Crime, Drama",7.8,87.0,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","272,333",$183.88M
669,669,A Bronx Tale,1993,121,"Crime, Drama, Romance",7.8,80.0,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,"130,591",$17.27M
672,672,The Double Life of Véronique,1991,98,"Drama, Fantasy, Music",7.8,86.0,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.","43,720",$2.00M
673,673,Boyz n the Hood,1991,112,"Crime, Drama",7.8,76.0,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.","128,774",$57.50M
674,674,Misery,1990,107,"Drama, Thriller",7.8,75.0,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.","188,558",$61.28M
675,675,Awakenings,1990,121,"Biography, Drama",7.8,74.0,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.","128,857",$52.10M
677,677,Glory,1989,122,"Biography, Drama, History",7.8,78.0,"
Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.","125,517",$26.83M
679,679,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi",7.8,57.0,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","490,111",$118.50M
680,680,Mississippi Burning,1988,128,"Crime, Drama, History",7.8,65.0,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,"90,418",$34.60M
681,681,Predator,1987,107,"Action, Adventure, Sci-Fi",7.8,45.0,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,"377,689",$59.74M
682,682,Ferris Bueller's Day Off,1986,103,Comedy,7.8,61.0,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","326,537",$70.14M
683,683,The Goonies,1985,114,"Adventure, Comedy, Family",7.8,62.0,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,"248,941",$61.50M
684,684,The Color Purple,1985,154,Drama,7.8,78.0,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,"80,126",$98.47M
685,685,The Breakfast Club,1985,97,"Comedy, Drama",7.8,66.0,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,"363,344",$45.88M
686,686,The Killing Fields,1984,141,"Biography, Drama, History",7.8,76.0,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.","52,452",$34.70M
687,687,Ghostbusters,1984,105,"Action, Comedy, Fantasy",7.8,71.0,Three former parapsychology professors set up shop as a unique ghost removal service.,"361,591",$238.63M
688,688,The Right Stuff,1983,193,"Adventure, Biography, Drama",7.8,91.0,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.","56,932",$21.50M
689,689,The King of Comedy,1982,109,"Comedy, Crime, Drama",7.8,73.0,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.","92,632",$2.50M
690,690,E.T. the Extra-Terrestrial,1982,115,"Family, Sci-Fi",7.8,91.0,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,"378,313",$435.11M
691,691,Kramer vs. Kramer,1979,105,Drama,7.8,77.0,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.","136,072",$106.26M
693,693,The Outlaw Josey Wales,1976,135,Western,7.8,69.0,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,"66,710",$31.80M
695,695,The Conversation,1974,113,"Drama, Mystery, Thriller",7.8,85.0,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","101,397",$4.42M
696,696,Fantastic Planet,1973,72,"Animation, Sci-Fi",7.8,73.0,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.","26,589",$0.19M
697,697,The Day of the Jackal,1973,143,"Crime, Drama, Thriller",7.8,80.0,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.","38,149",$16.06M
699,699,Cabaret,1972,124,"Drama, Music, Musical",7.8,80.0,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"49,117",$42.77M
700,700,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical",7.8,67.0,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"181,642",$4.00M
701,701,Midnight Cowboy,1969,113,Drama,7.8,79.0,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","102,799",$44.79M
702,702,Wait Until Dark,1967,108,Thriller,7.8,81.0,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,"28,211",$17.55M
703,703,Guess Who's Coming to Dinner,1967,108,"Comedy, Drama",7.8,63.0,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,"40,612",$56.70M
705,705,My Fair Lady,1964,170,"Drama, Family, Musical",7.8,95.0,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,"88,324",$72.00M
706,706,Mary Poppins,1964,139,"Comedy, Family, Fantasy",7.8,88.0,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","160,373",$102.27M
707,707,The Longest Day,1962,178,"Action, Drama, History",7.8,75.0,"The events of D-Day, told on a grand scale from both the Allied and German points of view.","52,709",$39.10M
709,709,The Innocents,1961,100,Horror,7.8,88.0,A young governess for two children becomes convinced that the house and grounds are haunted.,"27,648",$2.62M
712,712,The African Queen,1951,105,"Adventure, Drama, Romance",7.8,91.0,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.","72,564",$0.54M
719,719,The Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi",7.8,95.0,"
Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.","44,144",$4.36M
724,724,God's Own Country,2017,104,"Drama, Romance",7.7,85.0,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.","26,462",$0.34M
725,725,Deadpool 2,2018,119,"Action, Adventure, Comedy",7.7,66.0,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","497,360",$324.59M
726,726,Wind River,2017,107,"Crime, Drama, Mystery",7.7,73.0,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,"214,004",$33.80M
727,727,Get Out,I 2017,104,"Horror, Mystery, Thriller",7.7,85.0,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","508,338",$176.04M
728,728,Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",7.7,86.0,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","299,170",$220.16M
729,729,A Man Called Ove,2015,116,"Comedy, Drama, Romance",7.7,70.0,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.","49,089",$3.36M
730,730,What We Do in the Shadows,2014,86,"Comedy, Horror",7.7,76.0,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.","161,771",$3.33M
731,731,When Marnie Was There,2014,103,"Animation, Drama, Family",7.7,72.0,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.","34,485",$0.77M
732,732,The Theory of Everything,2014,123,"Biography, Drama, Romance",7.7,72.0,A look at the relationship between the famous physicist Stephen Hawking and his wife.,"413,483",$35.89M
733,733,Kingsman: The Secret Service,2014,129,"Action, Adventure, Comedy",7.7,60.0,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","600,919",$128.26M
734,734,The Fault in Our Stars,2014,126,"Drama, Romance",7.7,69.0,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,"349,546",$124.87M
735,735,Me and Earl and the Dying Girl,2015,105,"Comedy, Drama",7.7,74.0,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.","125,191",$6.74M
736,736,Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy, Drama",7.7,87.0,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","589,924",$42.34M
